Тематика,Текст обращения,Количество комментариев,Количество репостов
Социальная поддержка,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,50,14
Благоустройство,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",63,21
Благоустройство,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",31,26
Здравоохранение,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",92,46
Благоустройство,"транспорт ходит большими задержками, особенно вечернее время.",86,6
не указано,текст отсутствует,31,43
Транспорт,примите меры! школе хватает учебников учеников х классов.,22,16
Экология,погибли бездомные животные изза отравления. отвечает это?,11,15
Спорт,погибли бездомные животные изза отравления. отвечает это?,98,10
Безопасность,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",63,44
Благоустройство,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",14,150
Здравоохранение,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",54,5
Культура,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,2,25
ЖКХ,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",80,38
Здравоохранение,"воды доме номер вторые сутки, прошу срочно разобраться!",68,3
ЖКХ,"воды доме номер вторые сутки, прошу срочно разобраться!",36,32
Образование,"транспорт ходит большими задержками, особенно вечернее время.",88,28
Здравоохранение,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",0,18
Спорт,"транспорт ходит большими задержками, особенно вечернее время.",36,10
Культура,"транспорт ходит большими задержками, особенно вечернее время.",38,21
Образование,примите меры! школе хватает учебников учеников х классов.,49,150
не указано,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,76,33
ЖКХ,примите меры! школе хватает учебников учеников х классов.,75,150
Социальная поддержка,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,8,33
Транспорт,примите меры! школе хватает учебников учеников х классов.,63,44
Благоустройство,примите меры! школе хватает учебников учеников х классов.,34,13
ЖКХ,погибли бездомные животные изза отравления. отвечает это?,3,42
Транспорт,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",62,28
не указано,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",74,30
Экология,"транспорт ходит большими задержками, особенно вечернее время.",11,36
Спорт,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",82,1
ЖКХ,"транспорт ходит большими задержками, особенно вечернее время.",5,15
Здравоохранение,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,26,6
Спорт,примите меры! школе хватает учебников учеников х классов.,71,9
Спорт,"транспорт ходит большими задержками, особенно вечернее время.",56,11
Благоустройство,"транспорт ходит большими задержками, особенно вечернее время.",88,13
ЖКХ,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,79,5
Транспорт,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,67,50
Безопасность,погибли бездомные животные изза отравления. отвечает это?,79,39
не указано,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",26,27
Спорт,погибли бездомные животные изза отравления. отвечает это?,43,32
не указано,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,26,11
Социальная поддержка,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",84,28
Экология,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",66,0
Безопасность,примите меры! школе хватает учебников учеников х классов.,59,45
Безопасность,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",19,44
Культура,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,85,3
Спорт,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,37,7
Экология,"воды доме номер вторые сутки, прошу срочно разобраться!",73,0
Культура,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",31,9
Социальная поддержка,примите меры! школе хватает учебников учеников х классов.,27,200
не указано,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",63,10
ЖКХ,текст отсутствует,93,15
Здравоохранение,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,82,21
Спорт,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",73,150
Спорт,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",59,6
Спорт,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",75,34
Спорт,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",91,200
Социальная поддержка,погибли бездомные животные изза отравления. отвечает это?,72,15
Образование,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",42,48
Экология,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",50,5
Культура,"воды доме номер вторые сутки, прошу срочно разобраться!",61,40
Образование,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,7,39
ЖКХ,"воды доме номер вторые сутки, прошу срочно разобраться!",37,34
Транспорт,погибли бездомные животные изза отравления. отвечает это?,78,34
ЖКХ,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,0,18
Благоустройство,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,84,46
Образование,"транспорт ходит большими задержками, особенно вечернее время.",22,47
Экология,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",78,15
Экология,примите меры! школе хватает учебников учеников х классов.,13,29
Здравоохранение,"транспорт ходит большими задержками, особенно вечернее время.",67,5
не указано,погибли бездомные животные изза отравления. отвечает это?,78,14
Культура,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,88,0
Социальная поддержка,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",77,22
Культура,примите меры! школе хватает учебников учеников х классов.,61,19
Безопасность,примите меры! школе хватает учебников учеников х классов.,16,42
Спорт,погибли бездомные животные изза отравления. отвечает это?,30,42
ЖКХ,"воды доме номер вторые сутки, прошу срочно разобраться!",300,4
Экология,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,300,21
Спорт,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",11,18
Экология,"транспорт ходит большими задержками, особенно вечернее время.",43,49
Благоустройство,"воды доме номер вторые сутки, прошу срочно разобраться!",77,38
Благоустройство,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",97,36
Транспорт,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",1,20
Экология,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",17,2
Образование,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",36,25
Благоустройство,погибли бездомные животные изза отравления. отвечает это?,63,23
Безопасность,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",2,37
Образование,текст отсутствует,53,24
Здравоохранение,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",79,8
не указано,погибли бездомные животные изза отравления. отвечает это?,85,38
Социальная поддержка,погибли бездомные животные изза отравления. отвечает это?,74,2
Социальная поддержка,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",200,19
не указано,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,26,5
Благоустройство,"воды доме номер вторые сутки, прошу срочно разобраться!",60,31
Социальная поддержка,примите меры! школе хватает учебников учеников х классов.,85,31
Транспорт,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",68,19
Благоустройство,примите меры! школе хватает учебников учеников х классов.,98,47
Благоустройство,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,3,2
Социальная поддержка,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",200,7
Образование,"транспорт ходит большими задержками, особенно вечернее время.",74,35
Спорт,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,23,42
Социальная поддержка,примите меры! школе хватает учебников учеников х классов.,71,5
Транспорт,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,53,14
Благоустройство,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",100,200
Образование,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,46,48
Транспорт,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",84,43
Экология,"транспорт ходит большими задержками, особенно вечернее время.",33,26
Культура,примите меры! школе хватает учебников учеников х классов.,67,14
Социальная поддержка,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,3,44
Безопасность,текст отсутствует,72,18
Образование,"воды доме номер вторые сутки, прошу срочно разобраться!",73,44
не указано,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,69,46
Культура,примите меры! школе хватает учебников учеников х классов.,25,45
не указано,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",38,0
Безопасность,погибли бездомные животные изза отравления. отвечает это?,52,36
